Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,
XXII,22nd Century Group Inc.,2.21,$274.34M,n/a,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/xxii,
FAX,Aberdeen Asia-Pacific Income Fund Inc,4.72,$1.19B,1986,n/a,n/a,https://www.nasdaq.com/symbol/fax,
IAF,Aberdeen Australia Equity Fund Inc,6.09,$138.5M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/iaf,
CH,Aberdeen Chile Fund Inc..,8.85,$82.82M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ch,
ABE           ,Aberdeen Emerging Markets Smaller Company Opportunities Fund I,14.53,$137.81M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/abe,
FCO,Aberdeen Global Income Fund Inc..,8.52,$74.34M,1992,n/a,n/a,https://www.nasdaq.com/symbol/fco,
IF,Aberdeen Indonesia Fund Inc..,7.2,$66.65M,1990,n/a,n/a,https://www.nasdaq.com/symbol/if,
ISL,Aberdeen Israel Fund Inc..,19.4754,$76.84M,1992,n/a,n/a,https://www.nasdaq.com/symbol/isl,
ACU,Acme United Corporation.,19.8549,$66.99M,1988,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/acu,
ATNM,Actinium Pharmaceuticals Inc..,0.3727,$41.07M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/atnm,
AE,Adams Resources & Energy Inc..,41.23,$173.89M,n/a,Energy,Oil Refining/Marketing,https://www.nasdaq.com/symbol/ae,
ACY,AeroCentury Corp.,17.25,$24.44M,n/a,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/acy,
UAVS,AgEagle Aerial Systems Inc..,5.4699,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/uavs,
AIRI,Air Industries Group,1.55,$38.53M,n/a,Capital Goods,Military/Government/Technical,https://www.nasdaq.com/symbol/airi,
AXU,Alexco Resource Corp,1.31,$133.15M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/axu,
ALO,Alio Gold Inc.,1.98,$88.46M,2011,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/alo,
